,Negative,Neutral,Positive
Negative,0.45614035087719296,0.35964912280701755,0.18421052631578946
Neutral,0.17073170731707318,0.5121951219512195,0.3170731707317073
Positive,0.035455278001611606,0.13376309427880742,0.830781627719581
