Company Name,Salary & benefits,Training & learning,Management cares about me,Culture & fun,Office & workspace,review_count,recommendation
Bosch Global Software Technologies Company Limited,3.108,3.173,3.176,3.511,3.881,278,"Rà soát lương, thưởng và phúc lợi theo benchmark thị trường."
FPT Software,3.174,3.904,3.553,3.964,4.021,2014,"Rà soát lương, thưởng và phúc lợi theo benchmark thị trường."
KMS Technology,3.618,3.912,3.968,4.159,4.12,251,"Rà soát lương, thưởng và phúc lợi theo benchmark thị trường."
NashTech,3.458,3.964,3.646,3.841,3.786,308,"Rà soát lương, thưởng và phúc lợi theo benchmark thị trường."
VNG Corporation,3.668,3.629,3.625,3.938,4.351,259,"Cải thiện 1:1, phản hồi hai chiều và năng lực quản lý con người."
