,Negative,Neutral,Positive
Negative,0.4473684210526316,0.3508771929824561,0.20175438596491227
Neutral,0.16158536585365854,0.5182926829268293,0.3201219512195122
Positive,0.040290088638195005,0.1377921031426269,0.821917808219178
