Rank,Model,CV Macro F1 Mean,CV Macro F1 Std,Strategy,Best Params,Evaluation Set,Refit Time (s),Timing Scope
1,Logistic Regression,0.572705,0.010803,SMOTE,C=1.0,Development / Stratified 5-Fold CV,0.6198400000030233,1 refit / full Development set / local machine
2,Linear SVM,0.572392,0.025989,Balanced,C=0.1,Development / Stratified 5-Fold CV,0.07228739999845857,1 refit / full Development set / local machine
3,Random Forest,0.566381,0.013763,Balanced,"max_depth=30, n_estimators=400",Development / Stratified 5-Fold CV,1.5331392000007327,1 refit / full Development set / local machine
4,Stacking Ensemble,0.556037,0.023712,Mixed,cv=5,Development / Stratified 5-Fold CV,19.92429650000122,1 refit / full Development set / local machine
5,Multinomial Naive Bayes,0.553418,0.01834,SMOTE,alpha=0.5,Development / Stratified 5-Fold CV,0.17191129999991972,1 refit / full Development set / local machine
